asset_id,hostname,serial_number,asset_type,ip_address,mac_address,location,department,owner,patch_group,maintenance_window,os,os_version,os_build,business_criticality,asset_exposure,last_patched,tags,source,ingested_at,data_quality_score
5f3b8e1a1b9a4c5d8e2f3a4b,DC-PROD-01,VMW-DC-001,server,10.10.1.10,,Data Center 1,IT Infrastructure,John Smith,Group A,Sunday 01:00-05:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
a7c9d2e4f6b8a1c3d5e7f9b1,DC-PROD-02,VMW-DC-002,server,10.10.1.11,,Data Center 2,IT Infrastructure,John Smith,Group A,Sunday 01:00-05:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
b8d1e3f5a7c9b2d4e6f8a1c3,SQL-PROD-01,VMW-SQL-001,server,10.10.2.20,,Data Center 1,Database Services,Jane Doe,Group A,Sunday 02:00-06:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
c9e2f4a6b8d1c3e5f7a9b2d4,SQL-PROD-02,VMW-SQL-002,server,10.10.2.21,,Data Center 2,Database Services,Jane Doe,Group A,Sunday 02:00-06:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
d1f3a5c7b9e2d4f6a8c1b3e5,WEB-PROD-01,VMW-WEB-001,server,10.10.3.30,,Data Center 1,Application Services,Mike Johnson,Group B,Sunday 03:00-05:00,Windows,2022,21H2,3,internet_facing,,,servicenow,2025-11-08 14:34:05.946461,91
e2f4a6c8b1d3e5f7a9c2b4d6,WEB-PROD-02,VMW-WEB-002,server,10.10.3.31,,Data Center 1,Application Services,Mike Johnson,Group B,Sunday 03:00-05:00,Windows,2022,21H2,3,internet_facing,,,servicenow,2025-11-08 14:34:05.946461,91
f3a5c7b9d2e4f6a8c1b3d5e7,WEB-PROD-03,VMW-WEB-003,server,10.10.3.32,,Data Center 2,Application Services,Mike Johnson,Group B,Sunday 03:00-05:00,Windows,2019,1809,3,internet_facing,,,servicenow,2025-11-08 14:34:05.946461,91
a4b6c8d1e3f5a7c9b2d4e6f8,APP-PROD-01,VMW-APP-001,server,10.10.4.40,,Data Center 1,Application Services,Sarah Lee,Group B,Sunday 04:00-06:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
b5c7d9e2f4a6c8b1d3e5f7a9,FILE-PROD-01,VMW-FILE-001,server,10.10.5.50,,Data Center 1,IT Infrastructure,Tom Wilson,Group C,Sunday 00:00-04:00,Windows,2019,1809,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
c6d8e1f3a5c7b9d2e4f6a8c1,EXCH-PROD-01,VMW-EXCH-001,server,10.10.6.60,,Data Center 1,IT Infrastructure,Alice Brown,Group A,Sunday 01:00-05:00,Windows,2019,1809,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
d7e9f2a4c6b8d1e3f5a7c9b2,WEB-TEST-01,VMW-WEB-T01,server,10.20.3.30,,Data Center 1,Application Services,Mike Johnson,Group D,Anytime,Windows,2022,21H2,3,internet_facing,,,servicenow,2025-11-08 14:34:05.946461,91
e8f1a3c5b7d9e2f4a6c8b1d3,APP-TEST-01,VMW-APP-T01,server,10.20.4.40,,Data Center 1,Application Services,Sarah Lee,Group D,Anytime,Windows,2019,1809,3,non_critical,,,servicenow,2025-11-08 14:34:05.946461,91
f9a2c4b6d8e1f3a5c7b9d2e4,DEV-WEB-01,VMW-DEV-W01,server,10.30.3.30,,Office - 3rd Floor,Application Services,Mike Johnson,Group D,Anytime,Windows,2022,21H2,3,internet_facing,,,servicenow,2025-11-08 14:34:05.946461,91
a1c3b5d7e9f2a4c6b8d1e3f5,WIN11-EXEC-001,DELL-LT-001,laptop,10.40.1.101,,Office - 5th Floor,Executive,Robert Chen,Group E,,Windows,11 Pro,23H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
b2d4c6e8f1a3c5b7d9e2f4a6,WIN11-EXEC-002,DELL-LT-002,laptop,10.40.1.102,,Office - 5th Floor,Executive,Jennifer Liu,Group E,,Windows,11 Pro,23H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
c3e5d7f9a2c4b6d8e1f3a5c7,WIN11-ENG-001,DELL-LT-003,laptop,10.40.2.201,,Office - 2nd Floor,Engineering,David Park,Group E,,Windows,11 Pro,22H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
d4f6e8a1c3b5d7e9f2a4c6b8,WIN11-ENG-002,DELL-LT-004,laptop,10.40.2.202,,Office - 2nd Floor,Engineering,Emily Zhang,Group E,,Windows,11 Pro,22H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
e5a7c9b2d4f6e8a1c3b5d7f9,WIN11-SALES-001,DELL-LT-005,laptop,10.40.3.301,,Office - 1st Floor,Sales,Mark Johnson,Group E,,Windows,11 Pro,23H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
f6b8d1c3e5f7a9c2b4d6e8f1,WIN11-SALES-002,DELL-LT-006,laptop,10.40.3.302,,Remote Worker,Sales,Lisa Anderson,Group E,,Windows,11 Pro,23H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
a7c9e2f4a6c8b1d3e5f7a9c2,WIN10-SUPPORT-001,DELL-DT-001,desktop,10.40.4.401,,Office - 1st Floor,Support,Kevin Brown,Group E,,Windows,10 Enterprise,22H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
b8d1f3a5c7b9e2d4f6a8c1b3,WIN10-SUPPORT-002,DELL-DT-002,desktop,10.40.4.402,,Office - 1st Floor,Support,Amanda White,Group E,,Windows,10 Enterprise,22H2,3,internal_workstation,,,servicenow,2025-11-08 14:34:05.946461,91
8c00a39ff5bb4e38a0a37dce,PRINT-SRV-01,VMW-PRINT-01,server,10.10.7.70,,Data Center 1,IT Infrastructure,Tom Wilson,Group C,Sunday 00:00-04:00,Windows,2019,1809,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
6d1551caca0b4a6d8a88d0ce,WSUS-PROD-01,VMW-WSUS-01,server,10.10.8.80,,Data Center 1,IT Infrastructure,John Smith,Group B,Sunday 00:00-04:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
ba6f40e6d3e743978fe35a40,RDS-PROD-01,VMW-RDS-01,server,10.10.9.90,,Data Center 1,IT Infrastructure,John Smith,Group B,Sunday 01:00-05:00,Windows,2022,21H2,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
f7bf28d19d964f0eac973b7c,BACKUP-PROD-01,HPE-BKP-01,server,10.10.10.100,,Data Center 2,IT Infrastructure,Tom Wilson,Group A,,Windows,2019,1809,3,server_domain_infra,,,servicenow,2025-11-08 14:34:05.946461,91
